OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Dec 16 2021 09:50:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,"0,159999996423721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/2x3 LED.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,long._I_R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
25,10:39:55,"3113,00002793968",0,"1,23209330527188","0,0765619537611765","360,238560194966","1,64396669377642","1,91281065292335","30,0308418273926","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,861946105957","30,0308418273926","31,4765911102295","400,652893066406","399,633026123047","25,0646495819092","25,9291744232178","50,8639869689941","52,6183776855469","500,114959716797","20,6426830291748","0,0404028743505478","90,8317565917969","3,24317574501038","0,326716959476471",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85227759586833","0,00164396669377642","303,180841827393","304,011946105957","3,30282921084398","-0,484085418579725","4,26800311275931","46,9880058792649","21,0588314560471","30,4463939666748","4,37091805454901","0,0752192726919269","2,35519245983596","2,01572559471305","0,0471308609282433","32,7211012146085","0,901423397584884","54,3024420061675","399,245225864173","0,00167580401521133"
26,10:39:57,"3114,50002790615",0,"1,122715316058","0,0762822139082937","362,559776276057","1,63835391906959","1,91315017120514","30,0317001342773","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,8629417419434","30,0317001342773","31,4785213470459","400,724456787109","399,764801025391","25,066198348999","25,927713394165","50,8643112182617","52,6124954223633","500,149475097656","20,6857299804688","0,151784658432007","90,8318939208984","3,24317574501038","0,326716959476471","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85240543061","0,00163835391906959","303,181700134277","304,012941741943","3,30971672289706","-0,481989469458989","4,2682134838354","46,9902508864606","21,0625374922956","30,4473209381104","4,37115002227315","0,0749492412000291","2,35506331263026","2,01608670964289","0,0469612386295137","32,9319911386914","0,906932714801544","54,2936362446978","399,411427390175","0,00152615305412525"
27,10:39:58,"3115,5000278838",0,"0,937464582054262","0,0761164828886805","366,473613847435","1,63590218541821","1,91435919799998","30,0368709564209","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,8635406494141","30,0368709564209","31,4787826538086","400,714324951172","399,855163574219","25,0681743621826","25,9283599853516","50,8665771484375","52,6120071411133","500,172515869141","20,7287788391113","0,276271551847458","90,8318862915039","3,24317574501038","0,326716959476471","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85249076679917","0,00163590218541821","303,186870956421","304,013540649414","3,31660454012592","-0,481494876020272","4,26948104391461","47,0042098455679","21,0758498602163","30,4502058029175","4,3718720069228","0,0747892455433703","2,35512184591463","2,01675016100816","0,0468607376147559","33,2874896218267","0,916515896835261","54,2762476899126","399,560097440793","0,00127345198336872"
Remark=,"""10:40:10 Lamp: ParIn ->  10 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:43:07 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10:43:29,"3326,50002786145",0,"0,486562239630831","0,0631724213757088","374,124134088542","1,36171449557296","1,91408304412139","30,0590515136719","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,7567729949951","30,0590515136719","31,2781887054443","400,679595947266","400,122772216797","25,2767219543457","25,9927539825439","51,6004943847656","53,0622177124023","500,126159667969","10,3137674331665","0,108103185892105","90,8268127441406","3,38101601600647","0,332383215427399","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85231907716823","0,00136171449557296","303,209051513672","303,906772994995","1,65020275242173","-0,408950235786017","4,27492204279843","47,0667406863753","21,0739867038313","30,4079122543335","4,36129775130834","0,0622554919269019","2,36083899867703","2,00045875263131","0,0389910368521729","33,9805026699238","0,935023347998379","54,2022215291447","399,969627189809","0,000659368924722669"
29,10:43:30,"3327,50002783909",0,"0,524729704823334","0,0630517672878254","373,190643241778","1,35932652967564","1,91432135028082","30,060245513916","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,7573337554932","30,060245513916","31,279447555542","400,757049560547","400,180084228516","25,2786273956299","25,9934158325195","51,6026115417481","53,0617485046387","500,117370605469","10,3525485992432","0,129945904016495","90,8266067504883","3,38101601600647","0,332383215427399","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85228652508548","0,00135932652967564","303,210245513916","303,907333755493","1,65640773885531","-0,408099371255159","4,27521510820299","47,0700740802475","21,076658247728","30,4087896347046","4,36151688785886","0,0621383116900073","2,36089375792217","2,00062312993669","0,0389174929151705","33,8956397966827","0,932556761192228","54,1982947895729","400,014926026212","0,000710959851158081"
30,10:43:31,"3328,50002781674",0,"0,451820057469877","0,0631436027090244","375,134420570295","1,36240379993624","1,91588081263809","30,0675144195557","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,7572898864746","30,0675144195557","31,2797470092773","400,818939208984","400,280609130859","25,2795333862305","25,995922088623","51,6045341491699","53,0669364929199","500,128570556641","10,3600759506226","0,0666117295622826","90,8265075683594","3,38101601600647","0,332383215427399","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85232800638538","0,00136240379993624","303,217514419556","303,907289886475","1,65761211504909","-0,40991542225135","4,27699962696689","47,0897730351226","21,0938509464995","30,4124021530151","4,36241925986045","0,062227503592713","2,3611188143288","2,00130044553165","0,0389734709340044","34,07214928908","0,937178599245253","54,1805478911576","400,138399174437","0,000611784780276998"
Remark=,"""10:43:40 Lamp: ParIn ->  0 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:46:47 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10:47:09,"3547,00002785027",0,"-0,888767275189971","0,0512692644687145","414,698643582025","1,10538223040681","1,90921819653455","30,0548896789551","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,7417869567871","30,0548896789551","31,279712677002","400,649230957031","400,889770507813","25,4542770385742","26,0353984832764","52,0068054199219","53,1941223144531","500,210174560547","0,366346478462219","0,139772012829781","90,8256683349609","3,48887729644775","0,336664348840714","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85263024343155","0,00110538223040681","303,204889678955","303,891786956787","0,058615435243798","-0,330571464315136","4,27390066414516","47,0560882457061","21,0206897624298","30,3983383178711","4,35890716620016","0,0506636664700764","2,3646824676106","1,99422469858955","0,0317186495020832","37,6652814609391","1,03444556107461","54,1816368276246","401,169509207733","-0,00120036205701977"
32,10:47:10,"3548,00002782792",0,"-0,860006967058667","0,0510446977290552","413,939802261383","1,10052346603998","1,90909641965506","30,0536670684814","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,7416114807129","30,0536670684814","31,2783546447754","400,679718017578","400,905792236328","25,4548072814941","26,0334186553955","52,0084419250488","53,1906433105469","500,172912597656","0,331554502248764","0,17143626511097","90,8257293701172","3,48887729644775","0,336664348840714","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85249223616402","0,00110052346603998","303,203667068481","303,891611480713","0,0530487191740709","-0,328761777138615","4,27360065702898","47,0527535167259","21,0193348613304","30,3976392745972","4,35873266178766","0,0504443622634044","2,36450423737391","1,99422842441375","0,0315811187267314","37,5963844557122","1,03251140362016","54,1790986978256","401,17647865515","-0,00116144402347032"
33,10:47:11,"3549,00002780557",0,"-1,01779027594249","0,0510817050384572","418,872532438092","1,10237032560134","1,91093088175404","30,0616073608398","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,7422771453857","30,0616073608398","31,2798290252686","400,655395507813","400,966217041016","25,4547843933105","26,0343837738037","52,0070037841797","53,1911926269531","500,157745361328","0,236827373504639","0,158334225416183","90,8267517089844","3,48887729644775","0,336664348840714","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85243606121565","0,00110237032560134","303,21160736084","303,892277145386","0,0378923789137815","-0,330263877423193","4,27554939267373","47,0736794196153","21,0392956458116","30,4019422531128","4,35980692469693","0,0504805038993533","2,36461851091968","1,99518841377725","0,0316037838489622","38,0448315014681","1,04465791539551","54,1558437898912","401,286565614294","-0,00137356432828581"
Remark=,"""10:47:35 Lamp: ParIn ->  1000 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:59:14 long._I_R4""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:04:59 Lamp: ParIn ->  1500 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:59 Lamp: ParIn ->  2000 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:16:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11:16:57,"5334,50002790615",0,"16,2334994775815","0,177113552187117","230,322292029787","3,07265965249098","1,57830730989381","29,8880519866943","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,5995712280273","29,8880519866943","28,1945858001709","400,497497558594","391,086242675781","27,6239833831787","29,234073638916","63,8400268554688","67,5610046386719","500,198669433594","2000,78161621094","0,281726956367493","90,8126449584961","5,01549005508423","0,3242347240448","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85258763185099","0,00307265965249098","303,038051986694","301,749571228027","320,125051438397","1,38491362447487","4,23313085995522","46,6138923922971","17,3798187533811","29,2438116073608","4,07886328085457","0,170089930278593","2,65482355006141","1,42403973079316","0,106915685230839","20,9161765321281","0,58892967048378","62,7824916000824","385,976763326366","0,0264052047021657"
35,11:16:58,"5335,5000278838",0,"16,0836675301654","0,177484473970475","232,092772793284","3,07727207537163","1,57750354368511","29,8861522674561","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,6000862121582","29,8861522674561","28,1944847106934","400,505645751953","391,173706054688","27,6252861022949","29,2378635406494","63,8410720825195","67,5676879882813","500,174926757813","2000,7177734375","0,230404376983643","90,8125534057617","5,01549005508423","0,3242347240448","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85249969601632","0,00307727207537163","303,036152267456","301,750086212158","320,114836594876","1,38340463593065","4,23266858794071","46,608848988406","17,3709854477566","29,2431192398071","4,07870016211593","0,170431988388821","2,6551650442556","1,42353511786033","0,107131932445969","21,0769373243814","0,593324063455422","62,8004959341844","386,111386175863","0,0261598682012157"
36,11:16:59,"5336,00002787262",0,"16,064633224633","0,177646434123451","232,384351541904","3,07977067793604","1,57740252662597","29,8857498168945","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,600341796875","29,8857498168945","28,1946125030518","400,481109619141","391,158935546875","27,6240196228027","29,237907409668","63,8371734619141","67,5667495727539","500,174591064453","2000,73095703125","0,195464551448822","90,8125228881836","5,01549005508423","0,3242347240448","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,8524984527076","0,00307977067793604","303,035749816895","301,750341796875","320,116945969829","1,38258513876991","4,23257066246903","46,6077863256871","17,3698789160191","29,2430458068848","4,07868286197725","0,170581327622068","2,65516813584307","1,42351472613418","0,107226345433851","21,1034092432548","0,594091890594318","62,8033858941243","386,102606698585","0,0261307057282267"
Remark=,"""11:17:16 Lamp: ParIn ->  1700 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:20:02 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11:20:19,"5537,50002795085",0,"16,2745337023176","0,174258067989754","226,879499959869","3,08142681141424","1,607181680819","30,0475177764893","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,8857574462891","30,0475177764893","28,5094089508057","399,979705810547","390,545288085938","27,7321472167969","29,3466548919678","63,032154083252","66,7017593383789","500,195373535156","1700,31774902344","0,078623928129673","90,807975769043","4,71012353897095","0,310179859399796",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85257542481996","0,00308142681141424","303,197517776489","302,035757446289","272,05083376294","1,00036551026452","4,27209200715128","47,0453390351606","17,6986841431928","29,4666376113892","4,13165649806702","0,167454745127022","2,66491032633228","1,46674617173475","0,105249903156345","20,6024681348484","0,580930065938845","62,4125935933303","385,422893251219","0,026353801906148"
38,11:20:20,"5538,5000279285",0,"16,2188112860246","0,174275428076115","227,472844938918","3,07970541531479","1,60612577790989","30,0428066253662","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,8869171142578","30,0428066253662","28,5083465576172","400,002532958984","390,597900390625","27,7321319580078","29,3458366394043","63,0272903442383","66,6947860717773","500,165130615234","1700,37182617188","0,0578764043748379","90,8071136474609","4,71012353897095","0,310179859399796","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85246341400741","0,00307970541531479","303,192806625366","302,036917114258","272,059486106497","1,00163741433668","4,2709365007041","47,0330608379988","17,6872241985945","29,464861869812","4,13123343590094","0,16747077607925","2,66481072279421","1,46642271310673","0,105260035922731","20,6561524820796","0,582370885023778","62,4275274665243","385,493044136281","0,0262650728056907"
39,11:20:21,"5539,50002790615",0,"16,2200750892535","0,174394083430488","227,553566872504","3,08007576369649","1,60527746568606","30,0399360656738","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,8866329193115","30,0399360656738","28,508617401123","399,990905761719","390,58544921875","27,7334518432617","29,3473625183105","63,0314674377441","66,6995010375977","500,16064453125","1700,47619628906","0,159432709217072","90,8073120117188","4,71012353897095","0,310179859399796","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85244679888183","0,00308007576369649","303,189936065674","302,036632919312","272,076185324873","1,00189763823292","4,27023257060731","47,0252061866586","17,677843668348","29,4632844924927","4,13085766476841","0,16758034352691","2,66495510492125","1,46590255984717","0,105329291075795","20,663527746371","0,582596119050665","62,4423038407756","385,480195183478","0,0262742125198233"
Remark=,"""11:20:37 Lamp: ParIn ->  1400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:23:33 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11:23:48,"5746,00002800673",0,"16,3024042478735","0,164814978728647","218,396310571925","2,9165015545421","1,60455966858101","30,1023082733154","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,9254779815674","30,1023082733154","28,5087776184082","400,188079833984","390,772308349609","27,9972724914551","29,525203704834","63,4854125976563","66,9500885009766","500,157104492188","1400,17333984375","0,00436784233897924","90,803466796875","4,78762006759644","0,311014890670776","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85243368762628","0,0029165015545421","303,252308273315","302,075477981567","224,02772936759","0,665448276457906","4,28555052286387","47,19589101648","17,670687311646","29,5138931274414","4,14292878936874","0,158716121737","2,68099085428286","1,46193793508587","0,0997280658649244","19,8311421355778","0,558883794745595","62,5060372214862","385,641141285763","0,0264234952557152"
41,11:23:49,"5747,00002798438",0,"16,1720343416067","0,164967704517798","219,842173800287","2,91797703725096","1,60395252879017","30,099458694458","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,9261360168457","30,099458694458","28,5108451843262","400,129211425781","390,783386230469","27,9953594207764","29,5240821838379","63,4788513183594","66,945198059082","500,151611328125","1400,19689941406","0,0414953380823135","90,8037414550781","4,78762006759644","0,311014890670776",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85241334257455","0,00291797703725096","303,249458694458","302,076136016846","224,031498898756","0,665292741941848","4,28484965410986","47,1880297600913","17,6639475762534","29,5127973556519","4,14266710157444","0,158857748788701","2,68089712531969","1,46176997625475","0,0998175324738607","19,9624919106836","0,562567861241247","62,5155542288029","385,693252977279","0,026212636131655"
42,11:23:50,"5747,50002797321",0,"16,1232283945519","0,164779777554252","220,138893523587","2,91526541846992","1,60422533508367","30,1006145477295","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,9271430969238","30,1006145477295","28,5119113922119","400,094299316406","390,775268554688","27,9967746734619","29,5240993499756","63,4785881042481","66,9415740966797","500,144226074219","1400,22509765625","0,0382198542356491","90,8040771484375","4,78762006759644","0,311014890670776",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85238598978279","0,00291526541846992","303,250614547729","302,077143096924","224,036010617405","0,666291327704799","4,28513393019699","47,1909859641223","17,6668866141467","29,5138788223267","4,14292537298616","0,158683477290192","2,68090859511332","1,46201677787284","0,0997074443044814","19,9895090708874","0,563338858003444","62,5100261462435","385,700496929405","0,0261307267304291"
Remark=,"""11:24:02 Lamp: ParIn ->  1100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:26:48 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11:27:02,"5940,00002802908",0,"15,0686474648819","0,151750973148619","218,900180236483","2,6115727825769","1,55653733823363","29,8788948059082","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,9634914398193","29,8788948059082","28,671142578125","399,931365966797","391,245697021484","28,082592010498","29,4508113861084","63,5419883728027","66,6378326416016","500,181610107422","1099,93322753906","0,183457538485527","90,8078765869141","4,7852258682251","0,319224119186401",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85252444916258","0,0026115727825769","303,028894805908","302,113491439819","175,989312472582","0,408211044975222","4,23090298396784","46,5918061625233","17,1409947764149","29,4211931228638","4,12084143672062","0,146565435681755","2,67436564573422","1,4464757909864","0,0920555866149857","19,8778605517678","0,559495431906214","63,0630439624259","386,502853794627","0,0245864879962073"
44,11:27:03,"5940,50002801791",0,"15,1028177923914","0,151814633801068","218,618223890315","2,6132203188046","1,55687976827728","29,8799495697022","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,9638347625732","29,8799495697022","28,6704998016357","399,970489501953","391,266387939453","28,0809745788574","29,4499969482422","63,5367851257324","66,6343765258789","500,204010009766","1099,9404296875","0,157249510288239","90,8074722290039","4,7852258682251","0,319224119186401",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85260741176239","0,0026132203188046","303,029949569702","302,113834762573","175,990464816306","0,407555488748908","4,23115954829903","46,5948389977053","17,1448420494631","29,4218921661377","4,12100761075802","0,146624819075908","2,67427978002175","1,44672783073627","0,0920930686395603","19,852168294674","0,558745219699642","63,0576452378411","386,512789632768","0,0246394984070053"
45,11:27:03,"5941,50002799556",0,"15,248138769241","0,151566858424466","216,827457823197","2,60822613617989","1,556354968627","29,8767642974854","2,70000004768372","2,14456530656503",1,"4,28913061313007","28,9639892578125","29,8767642974854","28,668062210083","400,070190429688","391,288391113281","28,0810089111328","29,4474620819092","63,535816192627","66,6275405883789","500,188049316406","1099,97509765625","0,0720731168985367","90,8068008422852","4,7852258682251","0,319224119186401",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85254829808432","0,00260822613617989","303,026764297485","302,113989257813","175,996011691183","0,409731657821487","4,23038479320967","46,5866515940483","17,1391895121391","29,4203767776489","4,12064738548446","0,146393681751249","2,67402982458267","1,44661756090179","0,0919471786160817","19,68940777969","0,55413721119169","63,0614794834649","386,48905315993","0,0248796229102928"
Remark=,"""11:27:20 Lamp: ParIn ->  500 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:30:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,11:30:57,"6174,00002809614",0,"11,5381981457717","0,113644661757768","218,359308818411","2,03324800012609","1,60481371410504","29,8731822967529","2,70000004768372","2,14456530656503",1,"4,28913061313007","29,7418098449707","29,8731822967529","29,787109375","400,107086181641","393,446166992188","27,8372783660889","28,903226852417","60,2214851379395","62,5274925231934","500,127136230469","499,770141601563","0,121207542717457","90,809928894043","4,37001752853394","0,310821205377579",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85232269406632","0,00203324800012609","303,023182296753","302,891809844971","79,9632208689327","-0,0922687973694737","4,22951368938142","46,5754542580517","17,6722274056347","29,8074960708618","4,21356720583524","0,1107112599056","2,62469997527638","1,58886723055886","0,0694522387498759","19,8291933071523","0,554991577342643","61,5864703778047","389,814529510897","0,0182291024197944"
47,11:30:57,"6174,50002808496",0,"11,5738834540814","0,113753209353268","217,999729577383","2,03513963996266","1,60482006936831","29,8720436096191","2,70000004768372","2,14456530656503",1,"4,28913061313007","29,7416839599609","29,8720436096191","29,7881278991699","400,119964599609","393,439514160156","27,8331604003906","28,9000835418701","60,2130661010742","62,5212059020996","500,136749267578","499,822052001953","0,16051858663559","90,8100051879883","4,37001752853394","0,310821205377579",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85235829790684","0,00203513963996266","303,022043609619","302,891683959961","79,9715265328096","-0,0927841161376265","4,22923680573883","46,5723660843733","17,6722825425032","29,80686378479","4,2134139622944","0,110814273610269","2,62441673637052","1,58899722592388","0,069517103000698","19,7965565739022","0,554087024133123","61,5848748416238","389,796644760195","0,0182858465698094"
48,11:30:58,"6175,00002807379",0,"11,4560966229132","0,113747347201126","219,689728358444","2,03531080168954","1,60502574631028","29,8724174499512","2,70000004768372","2,14456530656503",1,"4,28913061313007","29,7421417236328","29,8724174499512","29,7895355224609","400,086761474609","393,469848632813","27,8319835662842","28,8989944458008","60,2085723876953","62,5168190002441","500,138244628906","499,820892333984","0,132128402590752","90,809455871582","4,37001752853394","0,310821205377579",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85236383628203","0,00203531080168954","303,022417449951","302,892141723633","79,9713409859387","-0,0928391845223684","4,22932770716932","46,5736488185791","17,6746543727783","29,807279586792","4,21351473728871","0,110808710447651","2,62430196085904","1,58921277642967","0,0695136000535948","19,949904692806","0,558339423266608","61,5807222307492","389,864052531946","0,0180954027282737"
Remark=,"""11:31:17 Lamp: ParIn ->  200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:34:17 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,11:34:36,"6393,5000279285",0,"6,97500417140949","0,0798018678764388","244,595245248176","1,49420822387891","1,66681001312506","29,9331588745117","2,70000004768372","2,14456530656503",1,"4,28913061313007","29,8016414642334","29,9331588745117","29,79833984375","400,509796142578","396,424499511719","27,5992088317871","28,3829746246338","59,4979057312012","61,1875343322754","500,130920410156","200,530044555664","0,167078956961632","90,8047866821289","4,30896711349487","0,319477707147598","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85233670954639","0,00149420822387891","303,083158874512","302,951641464233","32,0848064117549","-0,289513223041486","4,24411996931921","46,7389454278018","18,3559708031681","29,8674001693726","4,22810786841307","0,0783442261883939","2,57730995619415","1,65079791221892","0,0490940477492935","22,2104190682236","0,617003352591597","59,9392425522237","394,229123226703","0,0106049107537007"
50,11:34:37,"6394,50002790615",0,"6,88688913074757","0,0796178379347006","246,135124387413","1,49081847551374","1,66680969127373","29,9328193664551","2,70000004768372","2,14456530656503",1,"4,28913061313007","29,8026218414307","29,9328193664551","29,798734664917","400,550354003906","396,513519287109","27,6000308990479","28,3819732666016","59,4965209960938","61,1821250915527","500,160461425781","200,520385742188","0,0131040373817086","90,8050842285156","4,30896711349487","0,319477707147598","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85244612071344","0,00149081847551374","303,082819366455","302,952621841431","32,0832610016332","-0,288173507609597","4,24403716431896","46,7378803772554","18,3559071106538","29,8677206039429","4,22818576569321","0,0781668502689192","2,57722747304523","1,65095829264798","0,0489826039923329","22,3503207015952","0,620748379096729","59,9368241160791","394,345877131833","0,0104674167139463"
51,11:34:38,"6395,00002789497",0,"6,82926966776015","0,0794923034239877","247,136197860892","1,48856796752515","1,6668776073504","29,9330310821533","2,70000004768372","2,14456530656503",1,"4,28913061313007","29,8025875091553","29,9330310821533","29,7981472015381","400,576904296875","396,571533203125","27,6009502410889","28,3817272186279","59,4987640380859","61,1818656921387","500,150970458984","200,505187988281","0,0174717586487532","90,8052978515625","4,30896711349487","0,319477707147598","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85241096898519","0,00148856796752515","303,083031082153","302,952587509155","32,0808293610626","-0,287405502577962","4,24408880097971","46,7383390770595","18,3566118584316","29,8678092956543","4,22820732676856","0,0780458461709008","2,57721119362931","1,65099613313925","0,0489065789257794","22,4412760566609","0,62318189070396","59,9345234593765","394,422026721962","0,0103774382611068"
Remark=,"""11:34:53 Lamp: ParIn ->  100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:37:52 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
